FID,station,lat,lon,regarea,stn_type,stn_type_n,rca,mpa,mpa_name
71,2074,51.66666667,231.0166667,2B,standard,1,0,0, 
72,2075,51.66666667,230.75,2B,standard,1,0,0, 
73,2076,51.66666667,230.4833333,2B,standard,1,0,0, 
74,2077,51.66666667,230.2166667,2B,standard,1,0,0, 
75,2078,51.83333333,231.5666667,2B,standard,1,0,0, 
76,2079,51.83333333,231.3,2B,standard,1,0,0, 
77,2080,51.83333333,231.0333333,2B,standard,1,0,0, 
78,2081,51.83333333,230.7666667,2B,standard,1,0,0, 
79,2082,51.83333333,230.4833333,2B,standard,1,0,0, 
80,2083,52,231.3,2B,standard,1,0,0, 
81,2084,52,231.0333333,2B,standard,1,0,0, 
82,2085,52,230.7666667,2B,standard,1,0,0, 
83,2086,52.16666667,231.3166667,2B,standard,1,0,0, 
84,2087,51.66666667,229.95,2B,standard,1,0,0, 
